"Instituto Nacional de Estadística y Geografía",
"",
"27. Tabasco (mensual)",
"Fecha de consulta: 19/04/2025 21:25:56",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 1. Alimentos, bebidas y tabaco","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 2. Ropa, calzado y accesorios","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 3. Vivienda","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 4. Muebles, aparatos y accesorios domésticos","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.1. Salud","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.2. Cuidado personal","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 6. Transporte","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 7. Educación y esparcimiento","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 27 Tabasco, Índice de precios al consumidor, por objeto del gasto, Índice general, 8. Otros servicios"
"Periodo disponible","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100"
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  "
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","906130","906131","906286","906338","906363","906419","906447","906468","906504","906549"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Feb 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Abr 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"May 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jun 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jul 2018","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000"
"Ago 2018","100.250000000000","100.267000000000","100.451000000000","99.970000000000","100.100000000000","100.355000000000","100.378000000000","100.347000000000","100.029000000000","101.002000000000"
"Sep 2018","100.644000000000","100.493000000000","101.451000000000","100.565000000000","99.895000000000","101.073000000000","100.855000000000","100.883000000000","100.533000000000","100.981000000000"
"Oct 2018","102.133000000000","100.392000000000","101.411000000000","107.218000000000","100.125000000000","101.718000000000","102.096000000000","101.265000000000","100.768000000000","101.226000000000"
"Nov 2018","102.204000000000","100.913000000000","100.844000000000","106.954000000000","99.378000000000","102.208000000000","101.036000000000","101.567000000000","100.841000000000","101.160000000000"
"Dic 2018","102.498000000000","101.666000000000","101.452000000000","107.044000000000","99.477000000000","102.264000000000","100.090000000000","101.336000000000","101.226000000000","101.509000000000"
"Ene 2019","102.936000000000","102.406000000000","102.439000000000","107.223000000000","99.255000000000","102.948000000000","100.377000000000","101.332000000000","101.118000000000","102.992000000000"
"Feb 2019","103.063000000000","102.101000000000","102.941000000000","107.291000000000","99.524000000000","103.802000000000","101.069000000000","101.316000000000","101.591000000000","104.612000000000"
"Mar 2019","103.551000000000","102.538000000000","104.147000000000","107.446000000000","99.757000000000","103.826000000000","99.652000000000","102.954000000000","102.009000000000","104.909000000000"
"Abr 2019","102.766000000000","103.523000000000","104.608000000000","100.959000000000","100.134000000000","104.150000000000","101.888000000000","102.800000000000","103.031000000000","105.040000000000"
"May 2019","102.620000000000","103.536000000000","104.481000000000","100.994000000000","99.304000000000","104.202000000000","102.203000000000","102.370000000000","102.306000000000","104.975000000000"
"Jun 2019","102.375000000000","102.940000000000","103.611000000000","100.701000000000","100.504000000000","104.454000000000","101.503000000000","102.034000000000","103.232000000000","104.976000000000"
"Jul 2019","103.551000000000","104.821000000000","104.273000000000","100.592000000000","100.785000000000","105.194000000000","103.672000000000","104.176000000000","103.298000000000","106.336000000000"
"Ago 2019","103.973000000000","104.770000000000","105.168000000000","100.510000000000","100.903000000000","106.152000000000","104.384000000000","105.886000000000","104.167000000000","106.967000000000"
"Sep 2019","103.951000000000","104.574000000000","105.209000000000","100.487000000000","100.156000000000","106.191000000000","104.157000000000","106.317000000000","104.571000000000","107.076000000000"
"Oct 2019","105.790000000000","105.507000000000","105.971000000000","107.466000000000","100.120000000000","106.557000000000","103.684000000000","106.329000000000","105.265000000000","107.282000000000"
"Nov 2019","106.087000000000","106.228000000000","105.395000000000","107.770000000000","100.048000000000","107.373000000000","103.407000000000","106.196000000000","105.597000000000","107.332000000000"
"Dic 2019","107.010000000000","107.903000000000","105.912000000000","108.006000000000","100.857000000000","107.626000000000","104.339000000000","106.796000000000","105.813000000000","108.741000000000"
"Ene 2020","106.912000000000","107.501000000000","104.944000000000","107.973000000000","100.207000000000","108.439000000000","105.030000000000","106.986000000000","105.580000000000","109.994000000000"
"Feb 2020","107.286000000000","107.826000000000","105.942000000000","108.039000000000","101.087000000000","108.123000000000","105.127000000000","107.052000000000","106.173000000000","111.781000000000"
"Mar 2020","107.495000000000","108.615000000000","106.206000000000","108.265000000000","100.683000000000","108.164000000000","105.752000000000","105.886000000000","106.739000000000","111.832000000000"
"Abr 2020","106.585000000000","112.846000000000","106.863000000000","101.236000000000","101.573000000000","108.019000000000","106.432000000000","98.931000000000","106.786000000000","111.298000000000"
"May 2020","107.575000000000","115.048000000000","97.399000000000","101.709000000000","103.503000000000","109.676000000000","108.296000000000","100.390000000000","107.618000000000","113.597000000000"
"Jun 2020","108.042000000000","113.817000000000","100.518000000000","102.113000000000","106.395000000000","110.535000000000","108.700000000000","103.158000000000","107.280000000000","114.680000000000"
"Jul 2020","109.024000000000","114.574000000000","104.634000000000","102.299000000000","108.296000000000","111.486000000000","108.190000000000","105.820000000000","106.739000000000","114.746000000000"
"Ago 2020","109.099000000000","114.939000000000","102.428000000000","102.367000000000","108.923000000000","112.907000000000","107.275000000000","105.844000000000","106.886000000000","114.651000000000"
"Sep 2020","109.022000000000","113.775000000000","104.563000000000","102.429000000000","109.436000000000","113.299000000000","108.233000000000","106.426000000000","107.357000000000","114.658000000000"
"Oct 2020","110.843000000000","114.578000000000","106.335000000000","109.564000000000","109.611000000000","113.282000000000","108.152000000000","106.131000000000","107.744000000000","114.741000000000"
"Nov 2020","110.335000000000","114.256000000000","104.151000000000","109.655000000000","107.466000000000","112.945000000000","108.296000000000","104.979000000000","107.431000000000","114.985000000000"
"Dic 2020","110.667000000000","114.541000000000","106.326000000000","109.982000000000","108.942000000000","113.018000000000","106.426000000000","105.041000000000","107.876000000000","114.995000000000"
"Ene 2021","111.452000000000","114.591000000000","107.063000000000","110.813000000000","109.035000000000","112.989000000000","107.699000000000","108.336000000000","107.991000000000","115.319000000000"
"Feb 2021","112.254000000000","115.980000000000","106.684000000000","110.636000000000","109.250000000000","113.744000000000","108.049000000000","110.343000000000","108.193000000000","115.782000000000"
"Mar 2021","113.386000000000","117.421000000000","109.241000000000","111.230000000000","111.779000000000","114.362000000000","106.574000000000","111.680000000000","109.122000000000","116.076000000000"
"Abr 2021","111.937000000000","118.631000000000","109.545000000000","101.236000000000","112.802000000000","114.289000000000","106.391000000000","112.353000000000","108.953000000000","116.533000000000"
"May 2021","112.182000000000","119.009000000000","108.783000000000","101.193000000000","112.792000000000","114.354000000000","108.149000000000","112.609000000000","109.528000000000","116.802000000000"
"Jun 2021","112.203000000000","118.853000000000","109.303000000000","101.614000000000","111.143000000000","113.350000000000","107.663000000000","113.050000000000","109.489000000000","117.569000000000"
"Jul 2021","112.959000000000","119.422000000000","109.869000000000","102.359000000000","112.603000000000","113.968000000000","110.356000000000","113.411000000000","109.898000000000","119.153000000000"
"Ago 2021","113.257000000000","120.277000000000","111.389000000000","100.837000000000","116.192000000000","113.977000000000","111.857000000000","113.583000000000","108.788000000000","119.638000000000"
"Sep 2021","113.684000000000","121.121000000000","112.120000000000","101.184000000000","116.018000000000","113.826000000000","111.472000000000","113.698000000000","109.337000000000","119.663000000000"
"Oct 2021","116.467000000000","121.988000000000","112.168000000000","112.080000000000","117.388000000000","114.078000000000","112.510000000000","113.868000000000","109.665000000000","121.154000000000"
"Nov 2021","117.290000000000","123.838000000000","111.380000000000","111.993000000000","118.447000000000","114.131000000000","114.625000000000","114.303000000000","109.904000000000","121.550000000000"
"Dic 2021","117.868000000000","124.563000000000","112.955000000000","110.762000000000","119.711000000000","115.584000000000","114.797000000000","115.217000000000","111.595000000000","123.689000000000"
"Ene 2022","118.745000000000","126.158000000000","113.561000000000","110.783000000000","122.129000000000","116.815000000000","114.446000000000","115.428000000000","111.468000000000","125.638000000000"
"Feb 2022","120.001000000000","128.421000000000","114.829000000000","111.414000000000","122.555000000000","117.415000000000","116.190000000000","116.122000000000","111.897000000000","126.358000000000"
"Mar 2022","121.169000000000","130.607000000000","115.517000000000","112.305000000000","123.050000000000","118.212000000000","116.069000000000","116.936000000000","111.858000000000","126.997000000000"
"Abr 2022","119.408000000000","130.758000000000","116.584000000000","102.261000000000","123.174000000000","118.186000000000","117.445000000000","117.466000000000","112.203000000000","127.336000000000"
"May 2022","119.805000000000","130.846000000000","118.168000000000","102.358000000000","123.602000000000","118.363000000000","119.081000000000","117.982000000000","112.397000000000","128.767000000000"
"Jun 2022","120.558000000000","131.783000000000","118.976000000000","102.457000000000","125.098000000000","120.398000000000","120.099000000000","118.788000000000","112.892000000000","129.272000000000"
"Jul 2022","121.310000000000","133.044000000000","118.457000000000","102.636000000000","125.377000000000","120.895000000000","121.500000000000","119.688000000000","113.374000000000","130.318000000000"
"Ago 2022","122.243000000000","134.545000000000","120.043000000000","102.955000000000","127.240000000000","121.218000000000","122.701000000000","120.181000000000","113.296000000000","131.028000000000"
"Sep 2022","122.844000000000","135.794000000000","121.104000000000","102.471000000000","127.434000000000","121.939000000000","125.059000000000","120.351000000000","113.709000000000","131.648000000000"
"Oct 2022","125.294000000000","136.435000000000","120.930000000000","112.143000000000","127.923000000000","121.277000000000","126.936000000000","121.191000000000","114.272000000000","132.022000000000"
"Nov 2022","125.482000000000","136.471000000000","121.627000000000","112.168000000000","127.482000000000","122.335000000000","127.574000000000","121.561000000000","114.822000000000","132.170000000000"
"Dic 2022","125.875000000000","137.564000000000","120.956000000000","112.016000000000","126.349000000000","123.317000000000","126.373000000000","121.789000000000","115.358000000000","133.808000000000"
"Ene 2023","127.128000000000","139.962000000000","121.203000000000","111.998000000000","129.872000000000","123.853000000000","128.954000000000","121.864000000000","115.832000000000","134.838000000000"
"Feb 2023","127.948000000000","141.232000000000","121.080000000000","112.606000000000","130.021000000000","125.359000000000","128.455000000000","122.838000000000","116.604000000000","135.451000000000"
