"Instituto Nacional de Estadística y Geografía",
"",
"29. Tlaxcala (mensual)",
"Fecha de consulta: 19/04/2025 21:26:36",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 1. Alimentos, bebidas y tabaco","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 2. Ropa, calzado y accesorios","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 3. Vivienda","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 4. Muebles, aparatos y accesorios domésticos","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.1. Salud","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.2. Cuidado personal","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 6. Transporte","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 7. Educación y esparcimiento","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 29 Tlaxcala, Índice de precios al consumidor, por objeto del gasto, Índice general, 8. Otros servicios"
"Periodo disponible","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100"
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  "
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","906990","906991","907146","907198","907223","907279","907307","907328","907364","907409"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Feb 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Abr 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"May 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jun 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jul 2018","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000"
"Ago 2018","100.687000000000","100.955000000000","101.308000000000","100.453000000000","100.019000000000","99.973000000000","100.874000000000","100.868000000000","100.545000000000","100.000000000000"
"Sep 2018","100.964000000000","100.402000000000","101.574000000000","101.907000000000","100.687000000000","100.319000000000","99.887000000000","101.224000000000","101.761000000000","100.032000000000"
"Oct 2018","101.236000000000","100.612000000000","102.211000000000","101.841000000000","100.550000000000","100.523000000000","100.784000000000","101.687000000000","102.335000000000","100.353000000000"
"Nov 2018","102.272000000000","104.536000000000","101.887000000000","100.826000000000","100.795000000000","100.564000000000","99.556000000000","101.944000000000","102.162000000000","100.353000000000"
"Dic 2018","102.915000000000","105.667000000000","101.997000000000","101.810000000000","100.710000000000","100.828000000000","100.501000000000","101.755000000000","102.814000000000","100.397000000000"
"Ene 2019","102.863000000000","105.522000000000","101.456000000000","101.375000000000","101.737000000000","101.416000000000","100.893000000000","100.880000000000","102.479000000000","103.048000000000"
"Feb 2019","102.318000000000","102.959000000000","102.489000000000","101.435000000000","101.459000000000","102.154000000000","101.887000000000","101.766000000000","102.784000000000","103.104000000000"
"Mar 2019","102.824000000000","102.996000000000","102.553000000000","102.556000000000","100.867000000000","102.603000000000","102.494000000000","103.179000000000","102.381000000000","104.573000000000"
"Abr 2019","102.912000000000","103.242000000000","102.828000000000","102.044000000000","101.955000000000","102.763000000000","102.549000000000","103.018000000000","102.756000000000","104.855000000000"
"May 2019","102.904000000000","103.445000000000","102.811000000000","101.620000000000","101.939000000000","103.005000000000","103.257000000000","102.943000000000","102.538000000000","104.860000000000"
"Jun 2019","102.941000000000","104.109000000000","102.789000000000","100.735000000000","101.588000000000","103.029000000000","102.273000000000","102.926000000000","103.084000000000","104.961000000000"
"Jul 2019","103.254000000000","104.579000000000","102.547000000000","100.619000000000","102.407000000000","102.971000000000","102.931000000000","103.752000000000","103.262000000000","104.961000000000"
"Ago 2019","103.014000000000","103.602000000000","102.872000000000","100.659000000000","103.479000000000","103.040000000000","103.113000000000","103.039000000000","103.769000000000","105.575000000000"
"Sep 2019","103.421000000000","104.187000000000","103.000000000000","100.927000000000","104.226000000000","103.816000000000","102.224000000000","103.459000000000","104.509000000000","105.730000000000"
"Oct 2019","103.745000000000","104.384000000000","103.093000000000","101.952000000000","104.124000000000","104.641000000000","102.805000000000","103.228000000000","104.941000000000","105.799000000000"
"Nov 2019","104.650000000000","106.543000000000","102.684000000000","102.465000000000","103.387000000000","104.685000000000","102.422000000000","103.380000000000","104.649000000000","108.574000000000"
"Dic 2019","105.252000000000","107.293000000000","103.131000000000","102.933000000000","103.935000000000","104.259000000000","104.432000000000","103.803000000000","105.472000000000","108.696000000000"
"Ene 2020","105.719000000000","109.336000000000","102.195000000000","102.317000000000","103.798000000000","105.212000000000","104.466000000000","103.840000000000","104.879000000000","108.753000000000"
"Feb 2020","106.749000000000","112.146000000000","102.921000000000","102.150000000000","104.443000000000","106.094000000000","103.987000000000","103.929000000000","105.144000000000","109.198000000000"
"Mar 2020","106.299000000000","111.929000000000","103.493000000000","102.521000000000","104.473000000000","106.954000000000","104.252000000000","100.207000000000","105.088000000000","109.198000000000"
"Abr 2020","105.866000000000","112.269000000000","103.651000000000","102.842000000000","106.393000000000","107.956000000000","106.343000000000","94.426000000000","104.871000000000","109.197000000000"
"May 2020","106.344000000000","111.640000000000","103.440000000000","103.675000000000","107.446000000000","109.165000000000","106.761000000000","97.032000000000","105.549000000000","109.196000000000"
"Jun 2020","106.460000000000","110.691000000000","102.270000000000","104.538000000000","108.174000000000","109.524000000000","104.333000000000","100.290000000000","104.792000000000","109.196000000000"
"Jul 2020","107.013000000000","111.339000000000","102.338000000000","104.809000000000","108.580000000000","109.452000000000","104.456000000000","101.984000000000","104.935000000000","109.397000000000"
"Ago 2020","107.622000000000","112.599000000000","102.696000000000","105.326000000000","108.162000000000","109.531000000000","107.601000000000","101.595000000000","104.216000000000","110.530000000000"
"Sep 2020","107.259000000000","111.573000000000","103.105000000000","105.178000000000","107.373000000000","109.975000000000","107.135000000000","101.967000000000","103.889000000000","110.429000000000"
"Oct 2020","108.362000000000","113.722000000000","103.653000000000","106.199000000000","107.385000000000","110.230000000000","106.291000000000","102.140000000000","103.966000000000","112.983000000000"
